molregno,molecular_complexity,mean_standard_value
193481,4.43,29000.0
193518,6.56,570.0
193532,3.98,15766.666666666668
193549,3.61,32000.0
193623,6.2,910.0
193862,4.14,15666.666666666668
193932,3.54,32000.0
193979,3.78,32000.0
194089,4.13,32000.0
194090,4.01,3900.0
194362,3.03,82.0
194405,3.88,325.0
194433,4.24,23000.0
194994,4.29,50000.0
195068,4.83,3000.0
195087,4.97,5000.0
195178,3.36,3071.0
195235,0.5,80000.0
195310,0.59,50000.0
195389,4.51,30000.0
195733,0.68,50000.0
195803,1.2,2100.0
195873,1.41,610.0
195874,1.13,510.0
195875,1.29,40000.0
196630,1.31,1300.0
198304,3.82,30000.0
198403,3.95,5300.0
198485,6.63,250.0
198486,6.64,1400.0
198487,6.66,1000.0
198728,2.83,14950.0
198731,6.29,3000.0
198732,6.44,150.0
198949,6.63,210.0
198950,6.48,2500.0
199013,6.59,2500.0
199221,6.67,47.0
199222,6.63,1000.0
199223,6.63,70.0
199444,6.66,5500.0
199445,6.5,500.0
199453,4.83,3600.0
199472,6.61,770.0
199473,6.38,270.0
199475,6.68,1000.0
199532,6.57,64.0
199533,6.49,230.0
199534,6.44,650.0
199676,3.43,16000.0
199795,6.56,320.0
199845,5.53,14.0
199949,5.76,395.0
199985,5.69,521.0
200090,5.61,86.0
200130,5.41,14.0
200131,5.53,43.0
200132,5.45,86.0
200186,5.55,107.0
200189,5.81,2800.0
200222,5.52,1200.0
200224,5.58,88.0
200269,2.07,31000.0
200270,2.51,15000.0
200447,4.22,2863.08
200970,5.75,1600.0
201200,6.03,52166.666666666664
201964,1.77,56510.0
202694,2.02,10000.0
203814,4.47,4433.0
203815,4.31,1550.0
204480,4.75,121.0
204515,4.51,5267.0
204573,4.84,87.3
204574,4.72,758.0
204635,4.99,0.9
204688,4.92,672.0
204693,4.25,111.0
204694,4.3,40.6
204733,3.91,454.0
204741,3.99,842.0
204761,4.61,1233.0
204797,4.14,531.0
204826,4.76,18.9
205373,4.88,1333.0
205525,3.1,7943.28
206120,6.11,5000.0
207120,3.46,24059.43
208291,5.35,6309.57
209351,3.61,17000.0
209353,3.27,37000.0
209354,3.19,21000.0
209533,3.02,42000.0
209750,2.2,57000.0
209967,3.83,4000.0
210326,3.79,590.0
211806,4.3,230.0
217120,2.7,310.0
217141,2.9,490.0
217142,2.7,520.0
217143,2.79,540.0
217185,2.88,310.0
217341,4.94,12589.25
220354,4.3,34300.0
221880,5.83,3000.0
221949,5.79,1200.0
222161,5.0,130.0
222203,4.96,7000.0
222340,5.69,1200.0
222370,5.61,5800.0
222419,5.47,140.0
222436,5.94,1000.0
222507,5.82,1300.0
222533,5.87,3200.0
222588,5.94,5700.0
222589,5.8,5500.0
222639,5.64,1400.0
222667,5.88,1100.0
222808,5.42,180.0
222814,5.84,850.0
222837,6.06,43000.0
222838,5.83,40000.0
222868,5.99,6500.0
223319,5.82,5500.0
223727,4.99,14.9
223839,4.2,14780.0
224315,3.29,4000.0
224408,3.44,3500.0
226243,3.5,5300.0
227917,4.27,15000.0
229546,3.0,24100.0
229574,3.93,100000.0
229599,3.43,20900.0
229601,4.1,24900.0
229609,3.93,18500.0
229612,3.81,25000.0
229618,4.02,100000.0
229636,3.21,33000.0
229645,4.66,26200.0
229655,3.66,25600.0
229673,3.77,9500.0
229718,3.0,25800.0
229738,3.86,16500.0
229790,3.99,41000.0
229792,3.31,28100.0
229793,4.21,16500.0
229818,2.66,16300.0
229819,3.62,39900.0
229820,3.43,12300.0
229834,2.84,14400.0
229939,4.01,26500.0
229942,3.02,21700.0
229943,3.07,26800.0
229965,4.03,24800.0
229966,3.81,56400.0
229984,3.65,94500.0
230001,3.84,24400.0
230064,5.6,1.7
230104,3.8,14500.0
230105,4.23,14500.0
230138,3.79,41500.0
230142,4.22,22500.0
230345,3.75,27500.0
230346,3.8,51000.0
230362,4.33,16100.0
230363,3.73,68500.0
230389,3.79,39000.0
230398,4.27,92800.0
230407,3.3,93800.0
230409,3.3,30000.0
230420,4.03,20000.0
230421,2.75,70000.0
230484,3.5,19000.0
